date,headline_text,primary_category,categories,is_market_prices,is_supply_geopolitics,is_consumer_fuel,market_match_rule,supply_match_rule,consumer_match_rule,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_label
2003-05-10,small business being pushed out of oil industry mta,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.0,0.0,0.0,1.0,neutral
2003-05-16,orange council to probe fuel prices,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-05-22,fuel prices tipped to stabilise,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-05-22,iraq ready to resume oil sales once sanctions,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_event,,0.3612,0.263,0.0,0.737,positive
2003-05-23,livestock transporters to protest diesel excise,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.25,0.0,0.286,0.714,negative
2003-05-24,oil key to rebuilding iraq us administrator,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_country,,0.0,0.0,0.0,1.0,neutral
2003-05-25,iraq ramps up oil production,supply_geopolitics,supply_geopolitics,False,True,False,,oil_core_supply,,0.0,0.0,0.0,1.0,neutral
2003-05-26,spp rejects greenpeace shale oil claims,supply_geopolitics,supply_geopolitics,False,True,False,,shale_oil,,-0.4939,0.0,0.39,0.61,negative
2003-05-28,racv welcomes cheaper fuel plan,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_level,0.4019,0.403,0.0,0.597,positive
2003-05-29,drivers enjoying lower fuel prices,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.296,0.395,0.256,0.349,positive
2003-06-06,racq backs calls for regional fuel price probe,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.0516,0.0,0.146,0.854,negative
2003-06-11,opec keeps oil output steady,supply_geopolitics,supply_geopolitics,False,True,False,,opec,,0.0,0.0,0.0,1.0,neutral
2003-06-12,competition lowering fuel prices ract,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.25,0.0,0.333,0.667,negative
2003-06-13,iraqi oil exports soon to be announced,supply_geopolitics,supply_geopolitics,False,True,False,,oil_core_supply,,0.0,0.0,0.0,1.0,neutral
2003-06-14,gaddafi moves to privatise libyas oil industry,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.0,0.0,0.0,1.0,neutral
2003-06-18,zimbabwe allows private oil imports to ease,supply_geopolitics,supply_geopolitics,False,True,False,,oil_core_supply,,0.3612,0.294,0.0,0.706,positive
2003-06-19,iraqi oil exports to start on sunday official,supply_geopolitics,supply_geopolitics,False,True,False,,oil_core_supply,,0.0,0.0,0.0,1.0,neutral
2003-06-21,confusion over resumption of iraq oil exports,supply_geopolitics,supply_geopolitics,False,True,False,,oil_core_supply,,-0.296,0.0,0.268,0.732,negative
2003-06-22,explosion damages iraq oil pipeline,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_country,,-0.4404,0.0,0.42,0.58,negative
2003-06-22,iraq to begin selling oil again,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_country,,0.0,0.0,0.0,1.0,neutral
2003-06-22,repairs delay iraq oil exports,supply_geopolitics,supply_geopolitics,False,True,False,,oil_core_supply,,-0.3182,0.0,0.365,0.635,negative
2003-06-26,pipeline attacks wont affect iraq oil exports,supply_geopolitics,supply_geopolitics,False,True,False,,oil_core_supply,,-0.4404,0.0,0.326,0.674,negative
2003-06-28,vacc welcomes petrol excise evasion fine,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.5423,0.529,0.0,0.471,positive
2003-07-01,truck drivers criticise diesel price hike,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.4404,0.0,0.367,0.633,negative
2003-07-02,brisbane petrol stations switch to low sulphur,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_level,-0.2732,0.0,0.259,0.741,negative
2003-07-04,farmers to feel fuel price rise impact,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-07-08,nigerian unions to call off fuel strike,supply_geopolitics,supply_geopolitics,False,True,False,,fuel_shortage_security,,-0.128,0.0,0.2,0.8,negative
2003-07-10,bendigo fuel price on the rise,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-07-14,iran makes giant new oil find report,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_country,,0.0,0.0,0.0,1.0,neutral
2003-07-18,oil firms support kyoto measures conference told,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.4019,0.31,0.0,0.69,positive
2003-07-19,oil industry welcomes ocean plan,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.4019,0.403,0.0,0.597,positive
2003-07-21,yalgoo drivers take advantage of cheaper fuel,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_level,0.25,0.25,0.0,0.75,positive
2003-07-23,greenpeace oppose shale oil project,supply_geopolitics,supply_geopolitics,False,True,False,,shale_oil,,0.0,0.0,0.0,1.0,neutral
2003-08-01,oil company to stand trial for alleged burma,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.0,0.0,0.0,1.0,neutral
