event_id,anchor_date,anchor_direction,anchor_absolute_return_pct,relative_trading_day,observation_date,observation_brent_price,all_oil_rate,all_oil_count,market_prices_rate,market_prices_count,supply_geopolitics_rate,supply_geopolitics_count,consumer_fuel_rate,consumer_fuel_count,all_oil_pre_event_baseline,all_oil_excess_over_baseline,market_prices_pre_event_baseline,market_prices_excess_over_baseline,supply_geopolitics_pre_event_baseline,supply_geopolitics_excess_over_baseline,consumer_fuel_pre_event_baseline,consumer_fuel_excess_over_baseline
35,2010-08-02,increase,5.716129032258066,3,2010-08-05,82.9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2010-08-02,increase,5.716129032258066,4,2010-08-06,81.28,4.132231404958678,1,0.0,0,4.132231404958678,1,0.0,0,0.0,4.132231404958678,0.0,0.0,0.0,4.132231404958678,0.0,0.0
35,2010-08-02,increase,5.716129032258066,5,2010-08-09,81.54,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2010-08-26,increase,5.315238903025166,-5,2010-08-19,74.84,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2010-08-26,increase,5.315238903025166,-4,2010-08-20,73.48,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2010-08-26,increase,5.315238903025166,-3,2010-08-23,73.08,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2010-08-26,increase,5.315238903025166,-2,2010-08-24,70.61,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2010-08-26,increase,5.315238903025166,-1,2010-08-25,70.74,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2010-08-26,increase,5.315238903025166,0,2010-08-26,74.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2010-08-26,increase,5.315238903025166,1,2010-08-27,75.16,4.081632653061225,1,4.081632653061225,1,0.0,0,0.0,0,0.0,4.081632653061225,0.0,4.081632653061225,0.0,0.0,0.0,0.0
36,2010-08-26,increase,5.315238903025166,2,2010-08-30,76.05,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2010-08-26,increase,5.315238903025166,3,2010-08-31,75.51,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2010-08-26,increase,5.315238903025166,4,2010-09-01,75.53,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2010-08-26,increase,5.315238903025166,5,2010-09-02,74.93,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2011-02-22,increase,4.520547945205466,-5,2011-02-14,103.12,0.0,0,0.0,0,0.0,0,0.0,0,0.7861635220125787,-0.7861635220125787,0.0,0.0,0.0,0.0,0.7861635220125787,-0.7861635220125787
37,2011-02-22,increase,4.520547945205466,-4,2011-02-15,102.48,0.0,0,0.0,0,0.0,0,0.0,0,0.7861635220125787,-0.7861635220125787,0.0,0.0,0.0,0.0,0.7861635220125787,-0.7861635220125787
37,2011-02-22,increase,4.520547945205466,-3,2011-02-16,102.78,3.1446540880503147,1,0.0,0,0.0,0,3.1446540880503147,1,0.7861635220125787,2.358490566037736,0.0,0.0,0.0,0.0,0.7861635220125787,2.358490566037736
37,2011-02-22,increase,4.520547945205466,-2,2011-02-17,103.45,0.0,0,0.0,0,0.0,0,0.0,0,0.7861635220125787,-0.7861635220125787,0.0,0.0,0.0,0.0,0.7861635220125787,-0.7861635220125787
37,2011-02-22,increase,4.520547945205466,-1,2011-02-18,102.2,0.0,0,0.0,0,0.0,0,0.0,0,0.7861635220125787,-0.7861635220125787,0.0,0.0,0.0,0.0,0.7861635220125787,-0.7861635220125787
37,2011-02-22,increase,4.520547945205466,0,2011-02-22,106.82,7.894736842105264,3,5.263157894736842,2,2.631578947368421,1,0.0,0,0.7861635220125787,7.108573320092685,0.0,5.263157894736842,0.0,2.631578947368421,0.7861635220125787,-0.7861635220125787
37,2011-02-22,increase,4.520547945205466,1,2011-02-23,109.77,5.970149253731344,2,0.0,0,2.985074626865672,1,2.985074626865672,1,0.7861635220125787,5.183985731718765,0.0,0.0,0.0,2.985074626865672,0.7861635220125787,2.198911104853093
37,2011-02-22,increase,4.520547945205466,2,2011-02-24,113.91,6.042296072507553,2,6.042296072507553,2,0.0,0,0.0,0,0.7861635220125787,5.256132550494975,0.0,6.042296072507553,0.0,0.0,0.7861635220125787,-0.7861635220125787
37,2011-02-22,increase,4.520547945205466,3,2011-02-25,111.47,3.968253968253968,1,0.0,0,0.0,0,3.968253968253968,1,0.7861635220125787,3.1820904462413893,0.0,0.0,0.0,0.0,0.7861635220125787,3.1820904462413893
37,2011-02-22,increase,4.520547945205466,4,2011-02-28,112.27,0.0,0,0.0,0,0.0,0,0.0,0,0.7861635220125787,-0.7861635220125787,0.0,0.0,0.0,0.0,0.7861635220125787,-0.7861635220125787
37,2011-02-22,increase,4.520547945205466,5,2011-03-01,113.34,0.0,0,0.0,0,0.0,0,0.0,0,0.7861635220125787,-0.7861635220125787,0.0,0.0,0.0,0.0,0.7861635220125787,-0.7861635220125787
38,2011-05-05,decrease,7.914438502673793,-5,2011-04-27,124.94,6.557377049180328,2,3.278688524590164,1,0.0,0,3.278688524590164,1,3.3760655199975727,3.1813115291827554,0.819672131147541,2.459016393442623,0.7204610951008645,-0.7204610951008645,1.835932293749167,1.442756230840997
38,2011-05-05,decrease,7.914438502673793,-4,2011-04-28,126.59,2.881844380403458,1,0.0,0,2.881844380403458,1,0.0,0,3.3760655199975727,-0.4942211395941145,0.819672131147541,-0.819672131147541,0.7204610951008645,2.161383285302594,1.835932293749167,-1.835932293749167
38,2011-05-05,decrease,7.914438502673793,-3,2011-05-02,126.64,0.0,0,0.0,0,0.0,0,0.0,0,3.3760655199975727,-3.3760655199975727,0.819672131147541,-0.819672131147541,0.7204610951008645,-0.7204610951008645,1.835932293749167,-1.835932293749167
38,2011-05-05,decrease,7.914438502673793,-2,2011-05-03,124.01,4.065040650406504,1,0.0,0,0.0,0,4.065040650406504,1,3.3760655199975727,0.6889751304089318,0.819672131147541,-0.819672131147541,0.7204610951008645,-0.7204610951008645,1.835932293749167,2.2291083566573375
38,2011-05-05,decrease,7.914438502673793,-1,2011-05-04,121.55,0.0,0,0.0,0,0.0,0,0.0,0,3.3760655199975727,-3.3760655199975727,0.819672131147541,-0.819672131147541,0.7204610951008645,-0.7204610951008645,1.835932293749167,-1.835932293749167
38,2011-05-05,decrease,7.914438502673793,0,2011-05-05,111.93,0.0,0,0.0,0,0.0,0,0.0,0,3.3760655199975727,-3.3760655199975727,0.819672131147541,-0.819672131147541,0.7204610951008645,-0.7204610951008645,1.835932293749167,-1.835932293749167
38,2011-05-05,decrease,7.914438502673793,1,2011-05-06,113.69,0.0,0,0.0,0,0.0,0,0.0,0,3.3760655199975727,-3.3760655199975727,0.819672131147541,-0.819672131147541,0.7204610951008645,-0.7204610951008645,1.835932293749167,-1.835932293749167
38,2011-05-05,decrease,7.914438502673793,2,2011-05-09,113.21,12.048192771084338,3,4.016064257028112,1,0.0,0,12.048192771084338,3,3.3760655199975727,8.672127251086765,0.819672131147541,3.1963921258805708,0.7204610951008645,-0.7204610951008645,1.835932293749167,10.212260477335171
38,2011-05-05,decrease,7.914438502673793,3,2011-05-10,117.82,0.0,0,0.0,0,0.0,0,0.0,0,3.3760655199975727,-3.3760655199975727,0.819672131147541,-0.819672131147541,0.7204610951008645,-0.7204610951008645,1.835932293749167,-1.835932293749167
38,2011-05-05,decrease,7.914438502673793,4,2011-05-11,115.66,0.0,0,0.0,0,0.0,0,0.0,0,3.3760655199975727,-3.3760655199975727,0.819672131147541,-0.819672131147541,0.7204610951008645,-0.7204610951008645,1.835932293749167,-1.835932293749167
38,2011-05-05,decrease,7.914438502673793,5,2011-05-12,112.87,4.081632653061225,1,0.0,0,4.081632653061225,1,0.0,0,3.3760655199975727,0.7055671330636519,0.819672131147541,-0.819672131147541,0.7204610951008645,3.3611715579603603,1.835932293749167,-1.835932293749167
39,2011-06-15,decrease,4.719567926879931,-5,2011-06-08,118.43,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2011-06-15,decrease,4.719567926879931,-4,2011-06-09,119.95,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2011-06-15,decrease,4.719567926879931,-3,2011-06-10,118.71,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2011-06-15,decrease,4.719567926879931,-2,2011-06-13,120.49,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2011-06-15,decrease,4.719567926879931,-1,2011-06-14,120.35,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2011-06-15,decrease,4.719567926879931,0,2011-06-15,114.67,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
