date,headline_text,match_reason
2004-06-16,saudi arabia to bump up oil output capacity,oil_market_phrase
2004-06-19,iraq oil exports set to resume,oil_market_phrase
2004-06-21,iraq resumes some oil exports after 6 day halt,oil_market_phrase
2004-07-01,survey considers petroleum potential,petroleum
2004-07-03,iraq oil exports ruptured,oil_market_phrase
2004-07-06,clp in petrol price scare campaign mp,fuel_prices
2004-07-07,central vic fuel prices expected to drop,fuel_prices
2004-07-07,higher oil dampens markets,oil_with_market_context
2004-07-08,lower fuel prices wont last long racv,fuel_prices
2004-07-10,oil prices slip on opec output pledge,opec
2004-07-15,crude oil prices surge on us markets,crude_oil
2004-07-20,oil nears usd 42 a barrel,oil_with_market_context
2004-07-24,explosion leaves iraq oil pipeline ablaze,oil_market_phrase
2004-07-29,differing fuel prices highlights competition,fuel_prices
2004-07-29,oil price spike worries us investors,oil_market_phrase
2004-07-29,record oil prices as bailiff moves on yukos,oil_market_phrase
2004-07-30,oil price eases in volatile trade,oil_market_phrase
2004-07-30,oil prices hit fresh highs,oil_market_phrase
2004-07-30,petroleum firm reaches record profit,petroleum
2004-08-03,attack halts oil exports from northern iraq,oil_market_phrase
2004-08-03,markets remain stable as oil price rises,oil_market_phrase
2004-08-03,supply fears push oil to new high,oil_with_market_context
2004-08-04,oil price hits usd 44,oil_market_phrase
2004-08-04,us markets slide as oil hits new high,oil_with_market_context
2004-08-05,fuel prices tipped to rise further,fuel_prices
2004-08-05,markets focus on volatile oil prices,oil_market_phrase
2004-08-05,world oil prices dive,oil_market_phrase
2004-08-06,crude oil shoots higher,crude_oil
2004-08-06,wall street hit by oil price,oil_market_phrase
2004-08-07,oil prices yoyo on yukos woes,oil_market_phrase
2004-08-09,opec may raise oil quotas president,opec
2004-08-10,oil hits new high after iraq ceases production,oil_with_market_context
2004-08-11,lack of competition blamed for petrol price hike,fuel_prices
2004-08-11,oil market continues irrational exuberance,oil_market_phrase
2004-08-12,brent crude touches 42 mark,brent_market
2004-08-12,oil production fears trigger market volatility,oil_market_phrase
2004-08-12,saudi promise fails to cool oil prices,oil_market_phrase
2004-08-13,markets unsettled as oil price reaches new highs,oil_market_phrase
2004-08-13,oil price breaks new record on iraq fears,oil_market_phrase
2004-08-13,oil prices soar,oil_market_phrase
2004-08-13,petrol prices fuel mp concerns,fuel_prices
2004-08-14,brent ny oil prices soar,oil_market_phrase
2004-08-14,iraq shuts down main oil pipeline,oil_market_phrase
2004-08-14,oil price surges higher,oil_market_phrase
2004-08-16,oil nears usd 47 a barrel,oil_with_market_context
2004-08-16,oil price falls from record highs,oil_market_phrase
2004-08-16,petrol prices fail to dampen outback tourism,fuel_prices
2004-08-18,fuel price rise no surprise,fuel_prices
2004-08-18,oil prices bubble to record high,oil_market_phrase
2004-08-19,competition helps keep horsham fuel prices down,fuel_prices
2004-08-20,oil price forces qantas fare rise,oil_market_phrase
2004-08-21,oil price drops below 48 a barrel,oil_market_phrase
2004-08-21,us market gains as oil prices retreat,oil_market_phrase
2004-08-21,vic motorists warned of record petrol prices,fuel_prices
2004-08-22,oil exports from southern iraq back to normal,oil_market_phrase
2004-08-22,oil prices will fall says bhp,oil_market_phrase
2004-08-22,rural economies hit by high oil price,oil_market_phrase
2004-08-23,drivers tipped to feel higher petrol prices,fuel_prices
2004-08-23,investor confidence returns as oil price eases,oil_market_phrase
2004-08-23,livestock transporters bow to fuel price pressure,fuel_prices
2004-08-24,fuel prices cripple flying doctors,fuel_prices
2004-08-24,oil price drops after iraqi production resumes,oil_market_phrase
2004-08-25,business group airs fuel price fears,fuel_prices
2004-08-25,oil price fall lifts markets aust dollar falls,oil_market_phrase
2004-08-26,costello warns oil price threatens growth,oil_market_phrase
2004-08-26,harradine blasts petrol price rip off,fuel_prices
2004-08-26,lower oil price fuels wall st rally,oil_market_phrase
2004-08-26,oil prices slide,oil_market_phrase
2004-08-27,oil prices fall despite iraq pipeline attacks,oil_market_phrase
2004-08-28,oil prices ease as fears of supply disruption fade,oil_market_phrase
2004-08-28,oil prices firm after week of decline,oil_market_phrase
2004-08-29,high oil prices here to stay analyst says,oil_market_phrase
2004-08-31,iraqi oil pipeline attacked,oil_market_phrase
2004-09-02,fuel prices continue climb,fuel_prices
