date,brent_price,price_change,daily_return,daily_return_pct,absolute_return,absolute_return_pct,return_direction,is_extreme_p90,is_extreme_p95,is_extreme_p99,total_headlines,oil_headlines,market_price_headlines,supply_geopolitics_headlines,consumer_fuel_headlines,oil_share,market_price_share,supply_geopolitics_share,consumer_fuel_share
2020-03-16,27.98,-4.27,-0.1324031007751938,-13.240310077519378,0.1324031007751938,13.240310077519378,decrease,True,True,True,88,0,0,0,0,0.0,0.0,0.0,0.0
2004-12-15,41.53,4.5,0.12152308938698342,12.152308938698342,0.12152308938698342,12.152308938698342,increase,True,True,True,215,2,0,1,1,0.0093023255813953,0.0,0.0046511627906976,0.0046511627906976
2020-04-20,17.36,-2.3900000000000006,-0.12101265822784812,-12.101265822784812,0.12101265822784812,12.101265822784812,decrease,True,True,True,118,0,0,0,0,0.0,0.0,0.0,0.0
2021-11-26,72.37,-9.679999999999993,-0.11797684338817782,-11.797684338817781,0.11797684338817782,11.797684338817781,decrease,True,True,True,31,0,0,0,0,0.0,0.0,0.0,0.0
2019-09-16,68.42,7.170000000000002,0.11706122448979595,11.706122448979595,0.11706122448979595,11.706122448979595,increase,True,True,True,90,1,1,1,0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0
2009-01-26,48.0,4.869999999999997,0.11291444470206335,11.291444470206336,0.11291444470206335,11.291444470206336,increase,True,True,True,246,0,0,0,0,0.0,0.0,0.0,0.0
2020-03-06,45.6,-5.689999999999998,-0.11093780464028069,-11.093780464028068,0.11093780464028069,11.093780464028068,decrease,True,True,True,95,0,0,0,0,0.0,0.0,0.0,0.0
2008-10-15,66.86,-8.120000000000005,-0.10829554547879439,-10.82955454787944,0.10829554547879439,10.82955454787944,decrease,True,True,True,243,0,0,0,0,0.0,0.0,0.0,0.0
2009-04-02,50.89,4.969999999999999,0.1082317073170731,10.823170731707311,0.1082317073170731,10.823170731707311,increase,True,True,True,246,0,0,0,0,0.0,0.0,0.0,0.0
2009-01-27,42.86,-5.140000000000001,-0.10708333333333331,-10.70833333333333,0.10708333333333331,10.70833333333333,decrease,True,True,True,244,1,0,0,1,0.0040983606557377,0.0,0.0,0.0040983606557377
2008-12-11,43.54,4.199999999999996,0.10676156583629881,10.676156583629881,0.10676156583629881,10.676156583629881,increase,True,True,True,245,0,0,0,0,0.0,0.0,0.0,0.0
2016-01-22,30.46,2.870000000000001,0.10402319681043859,10.40231968104386,0.10402319681043859,10.40231968104386,increase,True,True,True,214,3,3,0,0,0.014018691588785,0.014018691588785,0.0,0.0
2016-02-12,31.8,2.9800000000000004,0.10340041637751574,10.340041637751574,0.10340041637751574,10.340041637751574,increase,True,True,True,227,0,0,0,0,0.0,0.0,0.0,0.0
2020-05-04,20.4,1.9100000000000001,0.10329908058409942,10.329908058409941,0.10329908058409942,10.329908058409941,increase,True,True,True,112,2,1,0,2,0.0178571428571428,0.0089285714285714,0.0,0.0178571428571428
2008-11-24,49.51,4.600000000000001,0.10242707637497217,10.242707637497217,0.10242707637497217,10.242707637497217,increase,True,True,True,248,0,0,0,0,0.0,0.0,0.0,0.0
2020-03-12,31.02,-3.4300000000000033,-0.09956458635703924,-9.956458635703925,0.09956458635703924,9.956458635703925,decrease,True,True,True,106,0,0,0,0,0.0,0.0,0.0,0.0
2016-04-08,40.71,3.5600000000000023,0.09582772543741602,9.582772543741601,0.09582772543741602,9.582772543741601,increase,True,True,True,216,0,0,0,0,0.0,0.0,0.0,0.0
2020-04-23,15.06,1.290000000000001,0.09368191721132901,9.368191721132902,0.09368191721132901,9.368191721132902,increase,True,True,True,124,2,2,0,0,0.0161290322580645,0.0161290322580645,0.0,0.0
