date,total_headlines,oil_headlines,market_price_headlines,supply_geopolitics_headlines,consumer_fuel_headlines,oil_share,oil_share_per_1000,market_price_share,market_price_share_per_1000,supply_geopolitics_share,supply_geopolitics_share_per_1000,consumer_fuel_share,consumer_fuel_share_per_1000
2003-04-24,221,1,1,0,0,0.004524886877828055,4.524886877828055,0.004524886877828055,4.524886877828055,0.0,0.0,0.0,0.0
2003-04-25,226,1,1,1,0,0.004424778761061947,4.424778761061947,0.004424778761061947,4.424778761061947,0.004424778761061947,4.424778761061947,0.0,0.0
2003-04-26,152,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-27,153,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-28,218,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-29,213,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-30,211,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,221,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-02,216,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-03,132,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-04,146,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-05,231,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-06,232,2,0,1,1,0.008620689655172414,8.620689655172413,0.0,0.0,0.004310344827586207,4.310344827586206,0.004310344827586207,4.310344827586206
2003-05-07,222,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-08,238,1,0,0,1,0.004201680672268907,4.201680672268908,0.0,0.0,0.0,0.0,0.004201680672268907,4.201680672268908
2003-05-09,230,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-10,115,1,0,1,0,0.008695652173913044,8.695652173913043,0.0,0.0,0.008695652173913044,8.695652173913043,0.0,0.0
2003-05-11,156,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-12,221,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-13,212,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-14,222,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-15,233,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-16,220,1,0,0,1,0.004545454545454545,4.545454545454545,0.0,0.0,0.0,0.0,0.004545454545454545,4.545454545454545
2003-05-17,140,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-18,136,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-19,238,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-20,243,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-21,246,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-22,245,2,0,1,1,0.00816326530612245,8.16326530612245,0.0,0.0,0.004081632653061225,4.081632653061225,0.004081632653061225,4.081632653061225
