date,sentiment_headline_count,mean_sentiment,median_sentiment,mean_positive_score,mean_negative_score,mean_neutral_score,positive_headlines,negative_headlines,neutral_headlines,positive_headline_share,negative_headline_share,neutral_headline_share,market_headline_count,market_mean_sentiment,market_median_sentiment,market_mean_positive_score,market_mean_negative_score,market_mean_neutral_score,market_positive_headlines,market_negative_headlines,market_neutral_headlines,market_positive_headline_share,market_negative_headline_share,market_neutral_headline_share,supply_headline_count,supply_mean_sentiment,supply_median_sentiment,supply_mean_positive_score,supply_mean_negative_score,supply_mean_neutral_score,supply_positive_headlines,supply_negative_headlines,supply_neutral_headlines,supply_positive_headline_share,supply_negative_headline_share,supply_neutral_headline_share,consumer_headline_count,consumer_mean_sentiment,consumer_median_sentiment,consumer_mean_positive_score,consumer_mean_negative_score,consumer_mean_neutral_score,consumer_positive_headlines,consumer_negative_headlines,consumer_neutral_headlines,consumer_positive_headline_share,consumer_negative_headline_share,consumer_neutral_headline_share
2003-06-22,3,-0.25286666666666663,-0.3182,0.0,0.26166666666666666,0.7383333333333333,0,2,1,0.0,0.6666666666666666,0.3333333333333333,0,,,,,,0,0,0,,,,3,-0.25286666666666663,-0.3182,0.0,0.26166666666666666,0.7383333333333333,0,2,1,0.0,0.6666666666666666,0.3333333333333333,0,,,,,,0,0,0,,,
2003-06-26,1,-0.4404,-0.4404,0.0,0.326,0.674,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,1,-0.4404,-0.4404,0.0,0.326,0.674,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-06-28,1,0.5423,0.5423,0.529,0.0,0.471,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,0.5423,0.5423,0.529,0.0,0.471,1,0,0,1.0,0.0,0.0
2003-07-01,1,-0.4404,-0.4404,0.0,0.367,0.633,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,-0.4404,-0.4404,0.0,0.367,0.633,0,1,0,0.0,1.0,0.0
2003-07-02,1,-0.2732,-0.2732,0.0,0.259,0.741,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,-0.2732,-0.2732,0.0,0.259,0.741,0,1,0,0.0,1.0,0.0
2003-07-04,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0
2003-07-08,1,-0.128,-0.128,0.0,0.2,0.8,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,1,-0.128,-0.128,0.0,0.2,0.8,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-07-10,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0
2003-07-14,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-07-18,1,0.4019,0.4019,0.31,0.0,0.69,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,,1,0.4019,0.4019,0.31,0.0,0.69,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,
2003-07-19,1,0.4019,0.4019,0.403,0.0,0.597,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,,1,0.4019,0.4019,0.403,0.0,0.597,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,
2003-07-21,1,0.25,0.25,0.25,0.0,0.75,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,0.25,0.25,0.25,0.0,0.75,1,0,0,1.0,0.0,0.0
2003-07-23,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-08-01,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-08-07,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0
2003-08-09,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,
2003-08-10,1,-0.34,-0.34,0.0,0.324,0.676,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,1,-0.34,-0.34,0.0,0.324,0.676,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-08-16,1,-0.34,-0.34,0.0,0.231,0.769,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,1,-0.34,-0.34,0.0,0.231,0.769,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-08-17,2,-0.6134999999999999,-0.6134999999999999,0.0,0.47550000000000003,0.5245,0,2,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,2,-0.6134999999999999,-0.6134999999999999,0.0,0.47550000000000003,0.5245,0,2,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-08-19,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-08-20,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0
2003-08-21,1,0.4404,0.4404,0.367,0.0,0.633,1,0,0,1.0,0.0,0.0,1,0.4404,0.4404,0.367,0.0,0.633,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,
2003-08-25,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-08-26,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-09-15,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-09-16,1,-0.5994,-0.5994,0.0,0.328,0.672,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,1,-0.5994,-0.5994,0.0,0.328,0.672,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-09-17,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-09-19,1,0.1779,0.1779,0.371,0.292,0.337,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,0.1779,0.1779,0.371,0.292,0.337,1,0,0,1.0,0.0,0.0
2003-09-24,1,-0.2732,-0.2732,0.0,0.296,0.704,0,1,0,0.0,1.0,0.0,1,-0.2732,-0.2732,0.0,0.296,0.704,0,1,0,0.0,1.0,0.0,1,-0.2732,-0.2732,0.0,0.296,0.704,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-09-25,3,0.000699999999999997,0.0258,0.18000000000000002,0.15833333333333333,0.6616666666666666,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0.0258,0.0258,0.265,0.253,0.482,0,0,1,0.0,0.0,1.0,3,0.000699999999999997,0.0258,0.18000000000000002,0.15833333333333333,0.6616666666666666,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,,,,,,0,0,0,,,
2003-09-26,5,-0.504,-0.5574,0.0,0.5254,0.4746,0,5,0,0.0,1.0,0.0,1,-0.7003,-0.7003,0.0,0.492,0.508,0,1,0,0.0,1.0,0.0,5,-0.504,-0.5574,0.0,0.5254,0.4746,0,5,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-09-28,1,-0.25,-0.25,0.0,0.25,0.75,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,1,-0.25,-0.25,0.0,0.25,0.75,0,1,0,0.0,1.0,0.0,1,-0.25,-0.25,0.0,0.25,0.75,0,1,0,0.0,1.0,0.0
2003-09-30,2,-0.273,-0.273,0.0,0.26249999999999996,0.7375,0,2,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,2,-0.273,-0.273,0.0,0.26249999999999996,0.7375,0,2,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-10-05,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-10-06,1,-0.1027,-0.1027,0.0,0.219,0.781,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,-0.1027,-0.1027,0.0,0.219,0.781,0,1,0,0.0,1.0,0.0
2003-10-10,1,0.5423,0.5423,0.467,0.0,0.533,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,,1,0.5423,0.5423,0.467,0.0,0.533,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,
2003-10-17,2,0.0,0.0,0.0,0.0,1.0,0,0,2,0.0,0.0,1.0,0,,,,,,0,0,0,,,,2,0.0,0.0,0.0,0.0,1.0,0,0,2,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-10-29,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-11-01,1,-0.128,-0.128,0.222,0.374,0.404,0,1,0,0.0,1.0,0.0,1,-0.128,-0.128,0.222,0.374,0.404,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,
2003-11-03,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,
2003-11-04,1,-0.3182,-0.3182,0.0,0.315,0.685,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,,1,-0.3182,-0.3182,0.0,0.315,0.685,0,1,0,0.0,1.0,0.0,0,,,,,,0,0,0,,,
2003-11-17,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0
