metric,metric_label,relative_trading_day,n_events,mean_rate,median_rate,standard_error,normal_approx_ci_95_lower,normal_approx_ci_95_upper,mean_excess_over_pre_event_baseline,median_excess_over_pre_event_baseline
market_prices,Market and prices,4,82,1.088622405873,0.0,0.3421038122358978,0.41809893389064035,1.7591458778553597,0.27971742614618056,0.0
market_prices,Market and prices,5,82,0.6937970316066018,0.0,0.234030688942873,0.2350968812785707,1.1524971819346328,-0.11510794812021785,0.0
supply_geopolitics,Supply and geopolitics,-5,82,0.6360366125381437,0.0,0.17086772642310635,0.30113586874885523,0.9709373563274322,0.08307204727747011,0.0
supply_geopolitics,Supply and geopolitics,-4,82,0.8371354951463912,0.0,0.2669421856744591,0.3139288112244514,1.360342179068331,0.28417092988571757,0.0
supply_geopolitics,Supply and geopolitics,-3,82,0.41242896896755893,0.0,0.18349185027415732,0.05278494243021059,0.7720729955049073,-0.14053559629311474,0.0
supply_geopolitics,Supply and geopolitics,-2,82,0.32625718439060075,0.0,0.15846452318751372,0.015666718943073865,0.6368476498381277,-0.2267073808700729,0.0
supply_geopolitics,Supply and geopolitics,-1,82,0.8037737086582957,0.0,0.25574763382787635,0.30250834635565804,1.3050390709609334,0.25080914339762195,0.0
supply_geopolitics,Supply and geopolitics,0,82,0.9868129790435405,0.0,0.29323727966139396,0.4120679109072083,1.5615580471798727,0.4338484137828666,0.0
supply_geopolitics,Supply and geopolitics,1,82,1.0730234051862728,0.0,0.3121566535480285,0.46119636423213695,1.6848504461404086,0.5200588399255991,0.0
supply_geopolitics,Supply and geopolitics,2,82,1.0321245138237458,0.0,0.3382220970151924,0.3692092036739687,1.695039823973523,0.4791599485630723,0.0
supply_geopolitics,Supply and geopolitics,3,82,1.1308005378331627,0.0,0.5630491716946877,0.0272241613115749,2.2343769143547503,0.5778359725724891,0.0
supply_geopolitics,Supply and geopolitics,4,82,0.6919759355297161,0.0,0.2072180752517813,0.28582850803622484,1.0981233630232075,0.1390113702690425,0.0
supply_geopolitics,Supply and geopolitics,5,82,0.6800152070379346,0.0,0.22035109457965493,0.24812706166181098,1.1119033524140582,0.12705064177726097,0.0
consumer_fuel,Consumer fuel,-5,82,1.871172427558789,0.0,0.6387093085639242,0.6193021827734977,3.1230426723440807,0.4541098423116311,0.0
consumer_fuel,Consumer fuel,-4,82,1.2871252255989358,0.0,0.37987266971453265,0.5425747929584519,2.0316756582394198,-0.12993735964822226,0.0
consumer_fuel,Consumer fuel,-3,82,1.578585398413135,0.0,0.3733163413824508,0.8468853693035315,2.3102854275227385,0.1615228131659772,0.0
consumer_fuel,Consumer fuel,-2,82,0.9313672894177719,0.0,0.24364001864107876,0.4538328528812576,1.4089017259542862,-0.48569529582938614,0.0
consumer_fuel,Consumer fuel,-1,82,1.4342145835114688,0.0,0.4753270970919438,0.5025734732112589,2.3658556938116786,0.017151998264310832,0.0
consumer_fuel,Consumer fuel,0,82,1.7569557965062979,0.0,0.38889290171326507,0.9947257091482983,2.5191858838642975,0.3398932112591399,0.0
consumer_fuel,Consumer fuel,1,82,1.4526827274129563,0.0,0.4810630154629433,0.5097992171055875,2.3955662377203253,0.03562014216579851,0.0
consumer_fuel,Consumer fuel,2,82,1.1446477550649894,0.0,0.3430699582987802,0.47223063679938027,1.8170648733305985,-0.2724148301821685,0.0
consumer_fuel,Consumer fuel,3,82,1.157100200886823,0.0,0.41575592784225734,0.34221858231599855,1.9719818194576475,-0.2599623843603351,0.0
consumer_fuel,Consumer fuel,4,82,0.9986173527338195,0.0,0.3894350944010942,0.23532456770767485,1.7619101377599642,-0.41844523251333854,0.0
